case_id,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,obstacle_speed,obstacle_heading,legacy_label,legacy_min_h,legacy_controller_error,legacy_case_runtime_s,evolved_label,evolved_min_h,evolved_controller_error,evolved_case_runtime_s
0,2.0182562694485964,0.23800257746322384,0.7438347377188863,-1.8659868071854144,0.37811276645441777,-1.349042044934153,Fail,-0.2506219446659088,False,1.0148895420134068,Pass,0.5659807920455933,False,1.1168823759944644
1,2.525632142970878,1.970592438268439,0.3974286806853106,1.911509913492237,0.2917521458926918,-0.9390955962125966,Pass,0.45526087284088135,False,0.48512208298780024,Pass,1.1349235773086548,False,1.2406225420127157
2,1.2760761200099224,2.3414950121398306,0.577621592265121,1.6452882199745487,0.23943300481457097,-1.9733431488781519,Pass,1.047788381576538,False,0.30633304198272526,Pass,1.2947235107421875,False,0.8588688340096269
3,1.0345736595188681,0.4212936103365669,0.42995878995747,-2.2556233980966907,0.832726298573512,1.7469538590152416,Pass,0.8854780793190002,False,0.42735175002599135,Pass,0.8854780793190002,False,0.7895796670054551
4,2.0854739848946453,0.011385737107729166,0.6951701174471439,-1.3719274358231495,1.0081787144305407,-2.2474136109126914,Fail,-0.3661322295665741,False,0.17448283301200718,Pass,0.44750043749809265,False,1.0371922090125736
5,2.37123577689533,0.7280661441778485,0.8548108817756586,-0.026910498939284988,0.7457472313364365,-1.5581172681087683,Pass,0.5225934386253357,False,0.18429308300255798,Pass,1.800872564315796,False,0.8501459580147639
6,2.6451480325952272,1.423731428633902,0.7244742606294716,-3.106573744098889,0.5214767521228744,1.983990053067954,Pass,6.471945285797119,False,0.2860205830074847,Pass,6.471945285797119,False,1.0515748749894556
7,1.5294380890231567,1.8789168676631927,0.5671388373652458,-2.4435895400589698,0.8115647738204032,-0.9758792492381656,Fail,-0.020960360765457153,False,0.17367591700167395,Pass,0.4293612837791443,False,1.110079791978933
8,2.9671206391558353,1.860977982492533,0.4561658740475708,-2.804654187073769,0.30352743093243845,-1.4823218871014876,Pass,1.7708793878555298,False,0.2293580420082435,Pass,1.7724801301956177,False,1.7848301259800792
9,2.9032972884183605,1.4697252783776646,0.7371018277420036,2.0782380678001005,0.6046887775403307,2.944728947380752,Pass,6.011213302612305,False,0.5588722919928841,Pass,6.161656856536865,False,0.8728977510181721
