case_id,observed_label,rule_verdict,rule_type,rule_text,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,cf_variable,cf_original_value,cf_perturbed_value,cf_l1_distance,cf_flips_verdict
1,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,-1.320800,0.984233,True
1,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,-1.320800,0.984233,True
1,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,-1.320800,0.984233,True
14,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,-1.320800,0.858128,True
14,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,-1.320800,0.858128,True
14,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,-1.320800,0.858128,True
15,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,-1.320800,0.946952,True
15,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,-1.320800,0.946952,True
15,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,-1.320800,0.946952,True
17,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.972118,1.635227,0.357232,0.489993,initial_heading_error,0.489993,0.747100,0.257107,True
17,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.972118,1.635227,0.357232,0.489993,initial_heading_error,0.489993,0.747100,0.257107,True
17,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.972118,1.635227,0.357232,0.489993,initial_heading_error,0.489993,0.747100,0.257107,True
22,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,0.747100,0.570818,True
22,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,0.747100,0.570818,True
22,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,0.747100,0.570818,True
23,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),2.461389,0.888803,0.912973,-0.925779,initial_heading_error,-0.925779,-1.320800,0.395021,True
23,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),2.461389,0.888803,0.912973,-0.925779,initial_heading_error,-0.925779,-1.320800,0.395021,True
23,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),2.461389,0.888803,0.912973,-0.925779,initial_heading_error,-0.925779,-1.320800,0.395021,True
24,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.487492,0.574914,0.880130,-0.256434,initial_heading_error,-0.256434,0.747100,1.003534,True
24,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.487492,0.574914,0.880130,-0.256434,initial_heading_error,-0.256434,0.747100,1.003534,True
24,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.487492,0.574914,0.880130,-0.256434,initial_heading_error,-0.256434,0.747100,1.003534,True
25,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.322483,2.039242,0.800259,-0.471737,initial_heading_error,-0.471737,-1.320800,0.849063,True
25,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.322483,2.039242,0.800259,-0.471737,initial_heading_error,-0.471737,-1.320800,0.849063,True
25,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.322483,2.039242,0.800259,-0.471737,initial_heading_error,-0.471737,-1.320800,0.849063,True
27,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.544410,0.856884,0.420842,-0.492962,initial_heading_error,-0.492962,-1.320800,0.827838,True
27,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.544410,0.856884,0.420842,-0.492962,initial_heading_error,-0.492962,-1.320800,0.827838,True
27,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.544410,0.856884,0.420842,-0.492962,initial_heading_error,-0.492962,-1.320800,0.827838,True
28,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.184368,0.718326,0.714247,-0.022723,initial_heading_error,-0.022723,0.747100,0.769823,True
28,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.184368,0.718326,0.714247,-0.022723,initial_heading_error,-0.022723,0.747100,0.769823,True
28,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),1.184368,0.718326,0.714247,-0.022723,initial_heading_error,-0.022723,0.747100,0.769823,True
