case_id,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,label,min_h,controller_error,case_runtime_s
0,1.319834268390037,1.5940877147919743,0.6357299396446998,1.7390410645051047,Pass,1.3378099203109741,False,1.861619041999802
1,2.1482003902266174,2.4058119628211223,0.35545594098803174,-0.3365674684884121,Pass,0.8664027452468872,False,1.4259562510123942
2,2.238364748143481,1.5619237288822325,0.8617912643504216,-2.9270287646823814,Pass,4.267591953277588,False,1.7122500840050634
3,1.3125865350174908,1.012001404306543,0.8511972408107147,-1.8017216894634567,Pass,0.998346745967865,False,2.362189208972268
4,2.3022959288321374,0.9960665501558716,0.7580422160852114,-1.3670853769244036,Pass,1.397225022315979,False,1.7930117920041084
5,0.8008656992386417,1.818410731326687,0.37970309978185735,-1.3983439790097763,Pass,0.47252005338668823,False,1.4948197919875383
6,1.9380292685641227,0.7116645116622069,0.7038564055280735,3.078764783269511,Pass,3.2605438232421875,False,2.422280042024795
7,2.1352164647480656,0.9921611411110925,0.6332695630219038,-1.9610605082651675,Pass,2.583292007446289,False,119.3812755550025
8,1.0168562734047186,0.8280057455882306,0.3782240599271134,-2.5978948002083677,Pass,0.8909432888031006,False,2.3155918350094
9,1.3224418027857738,1.370255974966197,0.93477130029346,1.3521921178944822,Pass,0.8256109356880188,False,2.062058834009804
10,1.6816343400180243,0.9568633522146969,0.9794781964353194,2.5083008023981384,Pass,1.868516445159912,False,2.1502433759742416
11,1.8527410908386017,1.2807360106464263,0.8114091682147262,-2.598742269246544,Pass,2.7742648124694824,False,1.9896781670104247
12,2.1046307566510993,1.4226673750468235,0.7049703830113763,-2.7744517789913137,Pass,3.9324872493743896,False,2.7420482510060538
13,2.2298901477143316,0.08318496107902057,0.430277846259283,0.9799876104967407,Pass,2.9760336875915527,False,2.4882633759989403
14,1.3575775318688865,1.4969823174139105,0.629944506280608,-0.46267168648790413,Pass,0.32527410984039307,False,4.705726251995657
15,1.8504014913208182,1.2310855286641686,0.48101235318671315,-0.3738479776246657,Pass,0.6666673421859741,False,2.338887750986032
16,2.154088292369466,1.2475676496400645,0.6419600061565223,-2.4559042146463654,Pass,4.022725582122803,False,3.0966091680165846
17,1.9721180691336022,1.635227189857324,0.35723201741318134,0.4899925477329621,Pass,1.5249505043029785,False,1.9402147090004291
18,2.2582967540959538,0.9052737456171147,0.7669240920491512,2.496491390734967,Pass,4.019872665405273,False,1.642185001022881
19,1.2360920071996517,0.25572254109817116,0.6537180442889453,-1.9198495667237008,Pass,0.8206647634506226,False,2.87954066801467
