case_id,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,label,min_h,controller_error,case_runtime_s
0,1.7117556723582537,0.23800257746322384,0.8154410536677748,-1.8659868071854144,Pass,0.9090260863304138,False,0.5709234999958426
1,1.2986785468861615,0.7132332252748269,0.8531718537767004,1.8110463282371878,Pass,0.9586636424064636,False,0.4907994580134982
2,0.8638445332765277,2.010565628753627,0.5080324123585414,-0.9390955962125966,Pass,0.17414438724517822,False,0.4356669169937959
3,1.040259346675644,2.3414950121398306,0.6190073363133248,1.6452882199745487,Pass,0.6989694237709045,False,0.4570052919880254
4,1.0791022576230707,0.46483170859879047,0.3916537517558401,-2.0827663245996497,Pass,1.0110690593719482,False,0.4687147910008207
5,0.9762212743985328,0.35251596609793406,0.8010600783939856,1.7469538590152416,Pass,0.31131070852279663,False,0.4493040009983815
6,1.7725717006189647,0.011385737107729166,0.7579283206193517,-1.3719274358231495,Pass,0.6636635661125183,False,0.4407281250023516
7,2.296282964515023,0.35578253662809894,0.805382502372364,-1.3117628536885322,Pass,0.8940564393997192,False,0.4765667079918785
8,2.443892137043184,1.239292652681859,0.7539464169739032,-1.5581172681087683,Pass,1.9415721893310547,False,0.5299701670010109
9,2.278943458062348,1.423731428633902,0.7925604898348302,-3.106573744098889,Pass,4.565431594848633,False,0.4714905830041971
10,1.525671524194551,2.039404559977292,0.5448260751738341,1.5806404889355123,Pass,2.0308380126953125,False,0.46191237500170246
11,1.4501159836253947,0.2777266145299098,0.789597585819385,-0.9758792492381656,Pass,0.39629852771759033,False,0.41964658298820723
12,2.57025200685528,1.860977982492533,0.4754687602380383,-2.804654187073769,Pass,5.449921131134033,False,0.5338519170036307
13,1.1805850989763609,0.6602028610362296,0.9700682083199688,0.5522298562873948,Pass,0.09069627523422241,False,0.4691466669901274
14,2.0372608594723762,2.0769046535303386,0.6775397545010124,2.944728947380752,Pass,3.691371440887451,False,0.5108203749987297
15,1.4319309416175832,1.3942817455896563,0.3586336440852708,1.1799742024413034,Pass,1.7380727529525757,False,0.4661426260136068
16,1.4386855279117183,2.0457608907884364,0.41771599564406425,1.0214051311594012,Pass,1.5005427598953247,False,0.4906581249961164
17,0.8685067214663561,1.6912273014438997,0.7184846937787743,-2.2006344382012566,Pass,0.23808366060256958,False,0.47172079200390726
18,2.5081892061077644,1.6114929773498354,0.406088582793956,-1.0736386433004323,Pass,1.4593783617019653,False,0.4810330409964081
19,1.0141295766292129,2.097177285175328,0.45095858127961663,-1.6875097811543787,Pass,0.8250950574874878,False,0.505862876001629
20,2.5047051005810603,1.825049957056935,0.9090757525764883,-0.15755287506439064,Pass,0.3870094418525696,False,0.4643151670024963
21,2.1877037105432087,0.445099087375459,0.4652712235609235,0.20128161260591426,Pass,1.1440322399139404,False,0.5796894170052838
22,1.89382953868921,2.1710035681091084,0.9294253034897909,1.5961701573022822,Pass,2.21334171295166,False,0.5152562919975026
24,0.968287841547364,2.428602501814952,0.6448368854273512,-1.2640326818669627,Pass,0.41654160618782043,False,0.49594383299699984
26,2.146888287089128,1.397115120432296,0.5816948916093685,2.5778768312662352,Pass,4.2707600593566895,False,0.6357318340014899
27,1.7141724081685008,1.8779859008348654,0.8707166453670947,2.688353021830376,Pass,2.18023943901062,False,0.49834862499847077
28,2.5801411790154383,2.383182947115,0.8158761594015319,-2.6106307280571306,Pass,5.933990478515625,False,0.456090541993035
29,1.7896725520224068,2.4315940685244932,0.42941310536368543,-0.998913584432771,Pass,1.3610973358154297,False,0.4909015000012005
31,1.851647808714321,1.6884278206400796,0.7491202775898034,0.8354135573834509,Pass,1.2823925018310547,False,0.5883668750029756
32,1.338516079751236,2.002112008440446,0.7614253714479591,1.8259864276034907,Pass,1.2118568420410156,False,0.4895035419904161
33,0.9655756061505841,0.45630470657706673,0.5274465387624542,0.8335711017710246,Pass,0.4643474817276001,False,0.4833640419965377
34,0.7118551504106491,0.5311565568746368,0.36463445535211964,2.70120034771975,Pass,0.3737794756889343,False,0.49672745799762197
35,0.9751002474607857,1.3882958233426992,0.8252992965703524,2.87123451579638,Pass,0.2697015404701233,False,0.5000092499976745
36,1.7082376717371948,1.3562979388129213,0.5698495096377195,2.5254428339928765,Pass,2.5933473110198975,False,0.46768237500509713
37,1.956505501049385,1.6445323009176671,0.7250455345317401,-1.2522337428066748,Pass,1.3688833713531494,False,0.4912362080067396
38,0.9570846923716253,2.3217799463840083,0.6966234880756508,-2.579776563393246,Pass,0.4307268559932709,False,0.5835482090042206
39,1.949719563106864,1.3683450664988621,0.7186516476564454,1.4327820991195033,Pass,2.5719082355499268,False,0.4887884589988971
40,1.7044036138924807,1.056657734771437,0.6844316856161783,-3.017163763476877,Pass,2.4365451335906982,False,0.4520405419898452
41,1.266037574449427,2.282510778518065,0.6295972072361959,2.068273904913304,Pass,1.206458568572998,False,0.5003309169987915
42,1.5827831384532491,1.380652465755726,0.6752172500395963,1.315523993861138,Pass,1.9579856395721436,False,0.6049077920033596
43,1.3603413922452345,1.7109247783240802,0.6524375509992337,-0.48878726527519367,Pass,0.21360191702842712,False,0.5721449999982724
44,1.2726762821195985,1.93640994898724,0.8587707567149861,0.875332183161535,Pass,0.37999486923217773,False,0.448506417000317
45,1.1933981372622917,1.1920827414527166,0.7408356776413356,2.0747575270768293,Pass,0.8753616213798523,False,0.49652708299981896
46,1.3740242588700924,2.1820377559184845,0.49701779403494484,-1.504439622518887,Pass,1.6409159898757935,False,0.5265782499918714
47,0.8427912982054409,1.7896270284860114,0.4939858550191004,-2.029474295768904,Pass,0.4662752151489258,False,0.4946572080079932
48,1.7792397253938816,1.7096039384485726,0.4910985322862583,2.9705278475333143,Pass,2.924516439437866,False,0.5914859170006821
49,0.9697165588927537,0.23636140472167472,0.6001986479695738,-2.388106324348696,Pass,0.5801117420196533,False,0.4935800829989603
50,1.9075537959894076,0.028981748623643777,0.5389888388141395,0.23301195320785784,Pass,1.1572386026382446,False,0.5546333329984918
51,1.1449972622964462,1.5772140385035691,0.9942788430896499,-2.913465774795384,Pass,0.32242828607559204,False,0.519732999993721
52,1.9659089145320037,0.44807085152875653,0.9159359919414887,2.1208145629834902,Pass,3.0258591175079346,False,0.5933296260045609
53,0.71241287306801,2.030789323522698,0.6411982642780539,2.49119836402272,Pass,0.09639689326286316,False,0.4926992910041008
54,2.4424556758373113,2.078869802970032,0.6243667449003852,-0.7730499314775972,Pass,1.2033255100250244,False,0.8261931250017369
55,1.8585474583729729,1.0831310959927527,0.5818218652540635,-1.2358908996602005,Pass,1.053511142730713,False,0.5201812080049422
56,0.8180511821797365,1.8845685471333298,0.36091090693238215,0.4355813974995226,Pass,0.054940640926361084,False,0.5164669579971815
57,2.4312721685321526,1.5095476520168225,0.803078783139821,-0.9700281060898246,Pass,1.060276746749878,False,0.5518517920136219
58,2.0432371756662304,2.396636666133273,0.8870764460250621,-0.5092917104867367,Pass,0.5124096274375916,False,0.5043720840039896
59,1.031277269339324,1.3203142705684177,0.5084872456444121,1.9781214771500473,Pass,0.8049735426902771,False,0.4867799999919953
60,1.9473142722178935,0.852552907297289,0.8046248495186011,0.2948826570461156,Pass,1.0877152681350708,False,0.662385291987448
61,0.8596280730520127,2.3445579802197467,0.37714323018142915,1.5103930188579362,Pass,0.5967234373092651,False,0.5367450000048848
62,1.4379880047706024,1.6120328898615597,0.6201427158771675,-2.6345222626417693,Pass,1.6832325458526611,False,0.5435789170005592
63,2.466793598229855,1.5484859925224916,0.35208089272615467,1.1490168231421292,Pass,2.1085000038146973,False,0.5998517500120215
64,1.5069263111106013,2.0381692624777394,0.6092841233779145,1.8010592555488971,Pass,1.8995996713638306,False,0.5991688329959288
65,2.365117812441584,1.4176664345068999,0.6125927660143595,-1.0783992599625702,Pass,1.212196946144104,False,0.5340419170097448
66,1.75275789693293,0.8304534183772074,0.35344313698593477,2.7823347809996566,Pass,2.9472382068634033,False,0.5105377919971943
67,1.106546730987629,0.947139156260496,0.43625899569366006,-0.6330123272194959,Pass,0.3077008128166199,False,1.0349306670104852
69,1.7396615381031995,1.7942034399868878,0.40248670821220495,-1.5987914206622234,Pass,2.668541193008423,False,0.5887465010018786
70,2.409963126524101,1.6748866785404877,0.4835994071466132,-0.2980170178896189,Pass,0.6978821754455566,False,0.47822158300550655
71,1.9518546985369916,0.3390128577958715,0.568533021723712,-2.784109301617167,Pass,2.882262945175171,False,0.5968182500073453
73,1.6888800062812028,0.4052496340259118,0.5722305358248894,0.18436368316474772,Pass,0.7249755859375,False,0.5174120419978863
74,1.271372561788469,1.179191234623652,0.5000105163653316,-0.5838629398770712,Pass,0.35840365290641785,False,0.5138929579989053
75,1.611875490948454,2.4293895336122224,0.6668966843567017,-0.5687087571450684,Pass,0.35941293835639954,False,0.4994447509961901
76,2.408665105896266,1.0104073594846503,0.9677014475176237,-0.2564271352927543,Pass,0.30518484115600586,False,0.6228140419989359
77,2.1264197548715034,1.5809237319179728,0.8019470332788776,0.2000644946800434,Pass,0.9880921244621277,False,0.5313814999972237
78,2.0993390373778213,2.369402483789739,0.6046747824140954,-0.4062233461641753,Pass,0.6600644588470459,False,0.5297788750031032
79,1.3060692060147805,0.024018420025053167,0.6444238503310371,0.031226927477373767,Pass,0.05558764934539795,False,0.5048057070089271
80,2.4730507742993098,1.6770536587270743,0.7122530304593893,-0.42459248319695053,Pass,0.7655687928199768,False,0.49856870899384376
81,1.40504016757823,0.45127952757524625,0.4103029941631268,0.1837725564403736,Pass,0.5309270024299622,False,0.4972906250040978
82,0.7586292549559769,0.03705030835600365,0.5560692231712314,-0.05965949051867492,Pass,0.0,False,0.6564690829982283
84,2.1990944620198363,0.9302631793844712,0.5460764355502011,-0.4973911432373046,Pass,0.6389297246932983,False,0.5300195000017993
87,2.5377533864564796,0.6915124573815895,0.7023691774927943,-0.6951486932408639,Pass,0.7476783990859985,False,0.5508548750076443
88,2.096233410468164,0.7250576858053657,0.8226993788766693,-0.27181982381618974,Pass,0.224389910697937,False,0.5090909580030711
89,1.9676554466850822,0.002400593042692356,0.3710414053030514,-0.17679119696351053,Pass,0.1332235187292099,False,0.5340977080049925
90,1.8684647409111819,0.6730968062239334,0.7648948449274846,-0.07431172794705532,Pass,2.384185791015625e-07,False,0.5254527920042165
91,1.642550404362507,0.077549342279985,0.6489232209431348,-0.41372007746409745,Pass,0.16932806372642517,False,0.5143173749966081
92,2.0745942587178754,0.42924387987224394,0.6072904813139834,-0.3275983281839796,Pass,0.3168741762638092,False,0.5164446249982575
96,1.4902505702809512,2.3514949169090817,0.47862907960881995,-0.14531317270889543,Pass,0.014944270253181458,False,0.49816337499942165
98,1.2444898914616358,1.959748146935538,0.6618934758958659,0.3139784091431852,Pass,0.03184249997138977,False,0.4983969589957269
99,0.8687971075213224,0.4814793335497891,0.6658204732609199,0.3754849179702262,Pass,0.04136472940444946,False,0.6030053759895964
100,2.3031457646726414,0.48528681971939436,0.94074152898337,0.1407217401992522,Pass,0.9990247488021851,False,0.551845374997356
101,1.19756338217191,2.290530860135727,0.5297889505639248,-0.4563351107388711,Pass,0.04843282699584961,False,0.9813592090067687
102,1.0310392945079276,0.6848846272118212,0.6871045453093294,-0.9270739296001405,Pass,0.2267082929611206,False,0.5610940829938045
103,2.372928073136353,2.061941338227254,0.7902457041520581,-0.19571608115282535,Pass,0.4830123782157898,False,0.5030148750083754
104,2.1417177353165835,1.440529667233711,0.869893570006367,-0.2716890500447908,Pass,0.38809728622436523,False,0.6841586259979522
108,2.3163025379900084,1.9747578796855212,0.6702363589296423,0.2634062263452086,Pass,1.032700777053833,False,0.5361070000071777
109,2.2676832629100847,0.588702986296801,0.35158303548629966,-0.38262019714044015,Pass,0.5398003458976746,False,0.4638111250096699
110,1.5945486889732414,1.635065542092573,0.45114390370019125,0.0399332199435487,Pass,0.17273053526878357,False,0.6020696250052424
112,0.983538208215815,0.41061554840981146,0.6144982749470393,-0.01588327685476587,Pass,8.940696716308594e-08,False,0.6669496249960503
116,2.2418812398721393,2.1137192243746523,0.955495150581379,-0.47195800886222106,Pass,0.6186338067054749,False,0.5464108760061208
118,1.4994942581935562,1.2745767621224835,0.9665647900684483,-0.47352480034922184,Pass,0.1398329734802246,False,0.5240281669975957
119,1.9190119260434864,1.4490253934528101,0.4888907262319777,-0.248178772693596,Pass,0.43298864364624023,False,0.7316920000012033
